aadb,2=嗷嗷待哺
aajj,2=安安静静
aapp,2=矮矮胖胖
aaqq,2=安安全全
aavi,2=AA制
aaww,2=安安稳稳
aaxx,2=安安心心
abai,2=爱不爱
abbd,2=按兵不动
abbu,2=哀兵必胜
abdg,2=安邦定国
abdi,2=安步当车
abdy,2=阿鼻地狱
abgo,2=熬不过
abhz,2=阿布哈兹
abjb,2=按部就班
abjp,2=矮半截
ablk,2=爱别离苦
ablm,2=鞍不离马
ablo,2=阿波罗
abuu,2=爱不释手
abvb,2=阿布扎比
abvu,2=熬不住
acrk,2=爱才若渴
acrm,2=爱财如命
acuj,2=暗藏杀机
acxj,2=暗藏玄机
ader,2=安道尔
adic,2=暗渡陈仓
adli,2=奥地利
adly,2=澳大利亚
adwg,2=暗淡无光
adwn,2=安度晚年
aeby,2=阿尔巴尼亚
aefa,2=阿尔法
aeje,2=阿尔及尔
aejy,2=阿尔及利亚
aelj,2=爱尔兰
afet,2=埃菲尔铁塔
afhj,2=阿富汗
afti,2=阿凡提
afuj,2=安分守己
agjy,2=爱岗敬业
agla,2=安哥拉
agtk,2=阿根廷
aguy,2=熬更守夜
agve,2=爱国者
agvy,2=爱国主义
ahby,2=哀鸿遍野
ahri,2=安好如初
ahug,2=安徽省
ahve,2=爱好者
aixy,2=暗潮汹涌
aizu,2=阿昌族
ajah,2=挨家挨户
ajcb,2=挨肩擦背
ajle,2=安静了
ajlh,2=安家落户
ajly,2=安居乐业
ajmd,2=阿基米德
ajnf,2=暗箭难防
ajsr,2=氨基酸
ajur,2=暗箭伤人
akbk,2=爱看不看
alba,2=阿鲁巴
albb,2=阿里巴巴
albg,2=阿拉伯联合酋长国
albl,2=爱理不理
albo,2=阿拉伯
albz,2=阿拉伯数字
aldk,2=阿拉丁
alfp,2=按劳分配
alhv,2=安理会
alpk,2=奥林匹克
alqi,2=按劳取酬
alqq,2=阿联酋
alsi,2=安乐死
aluj,2=阿里山
aluo,2=按理说
alwo,2=安乐窝
amag,2=阿猫阿狗
amds,2=哀莫大于心死
amld,2=鞍马劳顿
amnv,2=爱莫能助
amrz,2=爱民如子
amsd,2=阿姆斯特丹
amvx,2=爱美之心
amwq,2=奥妙无穷
amyc,2=安眠药
amzi,2=爱面子
anbv,2=按捺不住
anby,2=懊恼不已
apld,2=安贫乐道
aqbv,2=哀其不争
aqdy,2=安全第一
aqgj,2=安全感
aqhd,2=爱琴海
aqju,2=安全局
aqmh,2=鞍前马后
aqpm,2=爱情片
aqrm,2=爱钱如命
artl,2=傲然挺立
artu,2=安如泰山
arus,2=黯然失色
aruu,2=黯然神伤
arwy,2=安然无恙
arxh,2=黯然销魂
aryl,2=傲然屹立
asbj,2=阿塞拜疆
asey,2=埃塞俄比亚
asjm,2=爱斯基摩
aska,2=奥斯卡
aslu,2=奥斯陆
aspl,2=阿司匹林
asqb,2=暗送秋波
atbp,2=凹凸不平
atjk,2=凹透镜
atkq,2=暗通款曲
atsj,2=按图索骥
atug,2=安徒生
atyj,2=哀痛欲绝
auaj,2=碍手碍脚
aubu,2=爱说不说
aukb,2=昂首阔步
aulm,2=安身立命
auma,2=阿诗玛
auny,2=爱沙尼亚
auqx,2=傲视群雄
autq,2=唉声叹气
autx,2=昂首挺胸
auvd,2=安身之地
auvi,2=安身之处
auvl,2=安史之乱
avbj,2=安装版
avew,2=安枕而卧
avff,2=安知非福
avms,2=暗中摸索
avrs,2=安之若素
avwy,2=安枕无忧
avyu,2=爱之欲其生
awhv,2=奥委会
awjw,2=爱屋及乌
awtr,2=暗无天日
axbx,2=爱信不信
axcz,2=暗箱操作
axfp,2=按需分配
axhp,2=按下葫芦起来瓢
axjl,2=爱新觉罗
axuy,2=暗香疏影
axym,2=爱惜羽毛
ayhv,2=奥运会
ayst,2=爱因斯坦
ayvv,2=安营扎寨
ayxv,2=安于现状
azbk,2=艾滋病
azfm,2=爱憎分明
azpc,2=腌臜泼才
bael,2=北爱尔兰
bahx,2=不安好心
bazu,2=保安族
bbbd,2=不比不知道
bbbi,2=并不比
bbbk,2=不卑不亢
bbdc,2=办不到
bbde,2=巴不得
bbdn,2=百般刁难
bbds,2=巴巴多斯
bbdv,2=不必当真
bbdy,2=逼不得已
bbig,2=办不成
bbiy,2=百步穿杨
bbjb,2=步步紧逼
bbju,2=比比皆是
bbjx,2=步步惊心
bbko,2=不包括
bbku,2=必不可少
bbll,2=斑驳陆离
bblx,2=便把令来行
bbly,2=巴比伦
bbmm,2=爸爸妈妈
bbpp,2=白白胖胖
bbqq,2=北半球
bbrd,2=兵败如山倒
bbth,2=棒棒糖
bbtt,2=蹦蹦跳跳
bbuh,2=比不上
bbui,2=并不是
bbum,2=帮不上忙
bbuu,2=并不是说
bbvd,2=并不知道
bbvj,2=八拜之交
bbvw,2=不辨真伪
bbvy,2=不白之冤
bbvz,2=八宝粥
bbwj,2=北部湾
bbwn,2=被逼无奈
bbwx,2=白璧微瑕
bbwy,2=步步为营
bbxr,2=兵不血刃
bbxy,2=并不需要
bbyc,2=不必要
bbyd,2=并不一定
bbyh,2=北冰洋
bbyl,2=彬彬有礼
bbyv,2=兵不厌诈
bbyy,2=巴布亚新几内亚
bbzi,2=半辈子
bbzy,2=不必在意
bceb,2=不辞而别
bcfy,2=不测风云
bcgm,2=本草纲目
bchx,2=包藏祸心
bcjd,2=不存芥蒂
bcki,2=病从口入，祸从口出
bckr,2=病从口入
bclk,2=不辞劳苦
bcmb,2=百辞莫辩
bcuq,2=抱残守缺
bcwn,2=博茨瓦纳
bdbl,2=宝刀不老
bdbq,2=百毒不侵
bdbt,2=不得不低头
bdbx,2=不大不小
bdby,2=百读不厌
bddj,2=不单单
bddt,2=不登大雅之堂
bdei,2=背道而驰
bdeq,2=拔地而起
bdev,2=不得而知
bdfg,2=白癜风
bdhs,2=不得好死
bdih,2=不到长城非好汉
bdij,2=不动产
bdjg,2=兵多将广
bdjw,2=不懂就问
bdkh,2=遍地开花
bdkn,2=不大可能
bdlg,2=布达拉宫
bdli,2=背地里
bdll,2=不得了了
bdln,2=不得了
bdmd,2=不达目的
bdnl,2=表达能力
bdqf,2=不得其法
bdqi,2=不定期
bdqs,2=不得其所
bdqx,2=北斗七星
bdru,2=不动如山
bdrx,2=不得人心
bdsh,2=冰冻三尺，非一日之寒
bdsi,2=冰冻三尺
bdsr,2=不打算
bdtg,2=不断提高
bdti,2=拔得头筹
bdus,2=不动声色
bduv,2=不得善终
bdvd,2=不懂装懂
bdvf,2=别当真
bdwl,2=不得无礼
bdwu,2=不断完善
bdxv,2=拔刀相助
bdyi,2=不得已
bdyk,2=不答应
bdyl,2=弊大于利
bdyv,2=步调一致
bdzv,2=不打自招
bebj,2=避而不见
bebt,2=避而不谈
befm,2=不二法门
begj,2=巴尔干
bels,2=白俄罗斯
beuk,2=布尔什维克
bevk,2=巴尔扎克
bevx,2=不二之选
bfbd,2=百分百
bfbi,2=百分比
bfbm,2=不方便
bfbv,2=百发百中
bfcc,2=白发苍苍
bfcu,2=不负此生
bfcz,2=不复存在
bfdx,2=百废待兴
bfhc,2=百分号
bfhu,2=暴发户
bfil,2=不费吹灰之力
bfku,2=白费口舌
bflq,2=白费力气
bfqb,2=不分青红皂白
bfqr,2=不乏其人
bfst,2=不负所托
bfty,2=悲愤填膺
bfuh,2=不负韶华
bfuo,2=比方说
bfvb,2=百分之百
bfvt,2=不法之徒
bfvw,2=不负众望
bfvy,2=百分之一
bfxb,2=不放心
bfxj,2=白费心机
bfxv,2=不分轩轾
bfxw,2=不法行为
bfyu,2=暴风雨
bfyz,2=不费一兵一卒
bfze,2=不负责
bfzl,2=不放在眼里
bfzr,2=不负责任
bgbd,2=半工半读
bgbg,2=不管不顾
bgbi,2=笔耕不辍
bgbj,2=不干不净
bgbl,2=包工包料
bgdh,2=不敢当
bgdj,2=半个多世纪
bgdt,2=不共戴天
bgee,2=不过尔尔
bggt,2=不敢苟同
bgjj,2=百感交集
bgjk,2=白骨精
bgjm,2=不甘寂寞
bgjn,2=不干胶
bgle,2=不管了
bglh,2=不甘落后
bglj,2=八国联军
bgll,2=波光粼粼
bglm,2=不敢掠美
bglu,2=不归路
bgpk,2=不公平
bgqx,2=卑躬屈膝
bgrc,2=不过如此
bgsg,2=闭关锁国
bgsy,2=不管三七二十一
bgtj,2=博古通今
bgty,2=不关痛痒
bgtz,2=包工头
bgui,2=办公室
bguj,2=半个世纪
bgur,2=不甘示弱
bgus,2=兵贵神速
bguy,2=杯弓蛇影
bgvf,2=秉公执法
bgvs,2=半个钟
bgvt,2=半个钟头
bgws,2=秉公无私
bgwu,2=别跟我说
bgwx,2=报告文学
bgxb,2=不甘心
bgxq,2=不感兴趣
bgxu,2=半个小时
bgxx,2=不敢相信
bgyb,2=不敢越雷池一步
bgyq,2=不顾一切
bgys,2=不够意思
bgyt,2=半个月
bgyu,2=不甘于
bgyx,2=不苟言笑
bgzp,2=不攻自破
bgzu,2=闭关自守
bgzv,2=八竿子打不着
bhba,2=不会吧
bhbj,2=饱汉不知饿汉饥
bhbm,2=不慌不忙
bhdc,2=北海道
bhdd,2=变化多端
bhdr,2=不遑多让
bhel,2=不寒而栗
bhes,2=不欢而散
bhge,2=不合格
bhgl,2=别鹤孤鸾
bhgx,2=北回归线
bhhx,2=白花花
bhhy,2=不怀好意
bhil,2=不合常理
bhld,2=不回来
bhlh,2=悲欢离合
bhli,2=白鹤亮翅
bhma,2=巴哈马
bhmc,2=变幻莫测
bhml,2=兵荒马乱
bhpj,2=不患贫而患不均
bhqf,2=百花齐放
bhqu,2=不回去
bhqy,2=不合群
bhre,2=不好惹
bhsj,2=保护伞
bhsr,2=不划算
bhui,2=不合适
bhuo,2=不好说
bhuy,2=不合时宜
bhvn,2=不惑之年
bhvt,2=抱恨终天
bhvy,2=百花争艳
bhwi,2=变幻无常
bhwq,2=变化无穷
bhxk,2=保护性
bhxp,2=冰魂雪魄
bhys,2=不好意思
bibj,2=罢黜百家
bibn,2=不吵不闹
bibv,2=把持不住
biby,2=百吃不厌
bify,2=不成方圆
bigb,2=百尺竿头更进一步
bigh,2=百川归海
bigt,2=百尺竿头
bihl,2=不差毫厘
bijv,2=别出机杼
bijx,2=备尝艰辛
bijy,2=不成敬意
biln,2=拔出萝卜带出泥
bimj,2=鞭长莫及
biqw,2=不成其为
bisl,2=不出所料
bitt,2=不成体统
bivt,2=不吃这一套
biwt,2=不成问题
bixc,2=别出心裁
bixh,2=报仇雪恨
bixw,2=不耻下问
biyr,2=不齿于人
biys,2=不吃羊肉惹身臊
bjbl,2=半斤八两
bjbs,2=不见不散
bjbx,2=不疾不徐
bjbz,2=不骄不躁
bjcs,2=饱经沧桑
bjde,2=不见得
bjdj,2=不计代价
bjdl,2=不记得了
bjdn,2=不减当年
bjdx,2=北京大学
bjel,2=比肩而立
bjev,2=不教而诛
bjey,2=比较而言
bjez,2=不胫而走
bjfi,2=宝剑锋从磨砺出
bjfq,2=不解风情
bjfu,2=饱经风霜
bjgl,2=不见棺材不落泪
bjgx,2=白驹过隙
bjhh,2=保驾护航
bjjv,2=不见经传
bjkl,2=不积跬步无以至千里
bjle,2=不见了
bjlk,2=冰激凌
bjlx,2=背井离乡
bjly,2=保加利亚
bjmd,2=不结盟运动
bjmg,2=不结盟
bjmz,2=不讲面子
bjni,2=比基尼
bjpb,2=保健品
bjqq,2=并驾齐驱
bjqu,2=不计其数
bjqx,2=不计前嫌
bjrc,2=不仅如此
bjrj,2=不尽然
bjrq,2=不近人情
bjru,2=不久人世
bjry,2=不尽人意
bjsc,2=悲剧色彩
bjsl,2=不见森林
bjss,2=不假思索
bjst,2=巴基斯坦
bjtr,2=不见天日
bjty,2=不见兔子不撒鹰
bjuq,2=杯酒释兵权
bjux,2=北京师范大学
bjvd,2=必经之地
bjvj,2=败军之将
bjvl,2=必经之路
bjvm,2=百家争鸣
bjvt,2=不经之谈
bjvx,2=不见真佛不烧香
bjvy,2=不解之缘
bjwg,2=保家卫国
bjwm,2=不尽完美
bjxj,2=不拘小节
bjxt,2=不尽相同
bjyd,2=败局已定
bjyg,2=别具一格
bjyh,2=不久以后
bjyq,2=不讲义气
bjyv,2=不经一事不长一智
bjzt,2=不进则退
bkby,2=百看不厌
bkdd,2=不可多得
bkev,2=不可遏制
bkfr,2=不可否认
bkgl,2=不可估量
bkgr,2=不可告人
bkhq,2=不可或缺
bkhu,2=不堪回首
bkjd,2=不可兼得
bkkj,2=不可开交
bklv,2=不考虑
bkly,2=不可理喻
bkmb,2=百口莫辩
bkmm,2=不可磨灭
bkmv,2=不可名状
bknb,2=不可能吧
bknd,2=不可能的
bkng,2=不可能
bkpf,2=不可偏废
bkpu,2=不靠谱
bkqj,2=不可企及
bkqu,2=百科全书
bkre,2=不堪入耳
bkrm,2=不堪入目
bkry,2=宾客如云
bksm,2=不看僧面看佛面
bksy,2=不可思议
bkty,2=不可同日而语
bkum,2=别开生面
bkux,2=不堪设想
bkvf,2=不堪重负
bkvm,2=不可捉摸
bkxb,2=不开心
bkxw,2=不可信其无
bkxx,2=不可想象
bkyd,2=不可以的
bkyi,2=不可言传
bkyj,2=不堪一击
bkym,2=不可以吗
bkyv,2=不可言状
bkyy,2=不可言喻
bkzc,2=不可造次
blbj,2=波澜不惊
blbl,2=不伦不类
blbo,2=白萝卜
blbq,2=不离不弃
blbr,2=不冷不热
blbx,2=奔流不息
blby,2=表里不一
blcd,2=不理睬
blcj,2=不吝赐教
bldh,2=波罗的海
bldi,2=白兰地
bldm,2=便利店
bldx,2=薄利多销
bleh,2=不劳而获
blfl,2=别浪费了
blfm,2=不露锋芒
blfv,2=拨乱反正
blfw,2=别浪费
blfy,2=不良反应
blgv,2=巴拉圭
blhv,2=博览会
blig,2=百炼成钢
blih,2=鬓乱钗横
blij,2=半路出家
blix,2=兵临城下
bliy,2=碧螺春
bljd,2=兵来将挡
bljj,2=濒临绝境
bljl,2=不良记录
bljp,2=不了解
blju,2=本来就是
bljy,2=八路军
blkd,2=不离开
blkf,2=暴力抗法
blkj,2=不落窠臼
blle,2=不聊了
blll,2=筚路蓝缕
bllv,2=不了了之
blmf,2=爆冷门
blmi,2=菠萝蜜
blmm,2=本来面目
blpb,2=舶来品
blpu,2=步履蹒跚
blqm,2=不留情面
blqq,2=保龄球
blqr,2=壁立千仞
blqu,2=博览群书
blrd,2=病来如山倒
blry,2=表里如一
blse,2=布鲁塞尔
blst,2=巴勒斯坦
blsy,2=壁垒森严
blth,2=白里透红
bltu,2=柏拉图
blty,2=百里挑一
blui,2=比利时
blus,2=不露声色
blvf,2=避雷针
blvj,2=不吝指教
blvk,2=波澜壮阔
blvt,2=别来这一套
blwi,2=逼良为娼
blwj,2=步履维艰
blwu,2=芭蕾舞
blwx,2=包罗万象
blwy,2=别来无恙
blxn,2=半老徐娘
blyd,2=不留余地
blyu,2=不利于
blyw,2=本来以为
blzi,2=不良资产
blzu,2=布朗族
bmbb,2=不明不白
bmeh,2=不谋而合
bmlf,2=八面来风
bmnf,2=班门弄斧
bmnm,2=本命年
bmnu,2=不瞒你说
bmqv,2=不谋其政
bmsg,2=闭门思过
bmuk,2=表面上看
bmvd,2=不毛之地
bmvh,2=不买账
bmvv,2=百忙之中
bmvx,2=不明真相
bmvy,2=笔墨纸砚
bmvz,2=北美洲
bmwf,2=八面威风
bmwv,2=表面文章
bmwz,2=白马王子
bmxi,2=宝马香车
bmxx,2=表面现象
bmyq,2=不名一钱
bmys,2=兵马俑
bmyw,2=不名一文
bmzy,2=不鸣则已
bnbn,2=不男不女
bnby,2=百年不遇
bndu,2=本年度
bnfj,2=不耐烦
bnhh,2=百年好合
bnif,2=百鸟朝凤
bnje,2=不念旧恶
bnki,2=不难看出
bnma,2=巴拿马
bnny,2=百年难遇
bnsy,2=饱暖思淫欲
bnxf,2=笨鸟先飞
bnxx,2=不难想象
bnzb,2=不能自拔
bnzy,2=不能自已
bpbh,2=不怕不识货
bpby,2=不偏不倚
bphg,2=不平衡
bplj,2=杯盘狼藉
bpmu,2=不怕没柴烧
bpyt,2=白跑一趟
bpyw,2=不怕一万
bpyy,2=不怕一万，就怕万一
bqau,2=不欺暗室
bqbi,2=不清不楚
bqbn,2=不屈不挠
bqdk,2=不确定
bqdx,2=不确定性
bqev,2=不期而至
bqey,2=不期而遇
bqgy,2=毕其功于一役
bqiu,2=不清楚
bqlb,2=冰淇淋
bqlv,2=鼻青脸肿
bqmv,2=兵强马壮
bqnu,2=屏气凝神
bqrf,2=不求人
bqrq,2=避其锐气
bqsy,2=版权所有
bqtm,2=包青天
bquj,2=不切实际
bqut,2=搬起石头
bqvq,2=不情之请
bqyg,2=不求有功
bqyj,2=冰清玉洁
bqzl,2=不请自来
bqzy,2=不起作用
brbs,2=勃然变色
brby,2=不仁不义
brde,2=不认得
brdh,2=不然的话
brdn,2=勃然大怒
brfu,2=不容分说
brgh,2=病入膏肓
brhi,2=步人后尘
brhu,2=不容忽视
brhx,2=不入虎穴
brhz,2=不入虎穴，焉得虎子
brlg,2=不容乐观
brmg,2=白日梦
brmq,2=被人卖了还帮着数钱
brqi,2=哺乳期
brtw,2=不如退而结网
brui,2=不认识
brum,2=不辱使命
bruo,2=不如说
brvg,2=步入正轨
