aadb,1=嗷嗷待哺
aajj,1=安安静静
aapp,1=矮矮胖胖
aaqq,1=安安全全
aavi,1=AA制
aaww,1=安安稳稳
aaxx,1=安安心心
abai,1=爱不爱
abbd,1=按兵不动
abbu,1=哀兵必胜
abdg,1=安邦定国
abdi,1=安步当车
abdy,1=阿鼻地狱
abgo,1=熬不过
abhz,1=阿布哈兹
abjb,1=按部就班
abjp,1=矮半截
ablk,1=爱别离苦
ablm,1=鞍不离马
ablo,1=阿波罗
abuu,1=爱不释手
abvb,1=阿布扎比
abvu,1=熬不住
acrk,1=爱才若渴
acrm,1=爱财如命
acuj,1=暗藏杀机
acxj,1=暗藏玄机
ader,1=安道尔
adic,1=暗渡陈仓
adli,1=奥地利
adly,1=澳大利亚
adwg,1=暗淡无光
adwn,1=安度晚年
aeby,1=阿尔巴尼亚
aefa,1=阿尔法
aeje,1=阿尔及尔
aejy,1=阿尔及利亚
aelj,1=爱尔兰
afet,1=埃菲尔铁塔
afhj,1=阿富汗
afti,1=阿凡提
afuj,1=安分守己
agjy,1=爱岗敬业
agla,1=安哥拉
agtk,1=阿根廷
aguy,1=熬更守夜
agve,1=爱国者
agvy,1=爱国主义
ahby,1=哀鸿遍野
ahri,1=安好如初
ahug,1=安徽省
ahve,1=爱好者
aixy,1=暗潮汹涌
aizu,1=阿昌族
ajah,1=挨家挨户
ajcb,1=挨肩擦背
ajle,1=安静了
ajlh,1=安家落户
ajly,1=安居乐业
ajmd,1=阿基米德
ajnf,1=暗箭难防
ajsr,1=氨基酸
ajur,1=暗箭伤人
akbk,1=爱看不看
alba,1=阿鲁巴
albb,1=阿里巴巴
albg,1=阿拉伯联合酋长国
albl,1=爱理不理
albo,1=阿拉伯
albz,1=阿拉伯数字
aldk,1=阿拉丁
alfp,1=按劳分配
alhv,1=安理会
alpk,1=奥林匹克
alqi,1=按劳取酬
alqq,1=阿联酋
alsi,1=安乐死
aluj,1=阿里山
aluo,1=按理说
alwo,1=安乐窝
amag,1=阿猫阿狗
amds,1=哀莫大于心死
amld,1=鞍马劳顿
amnv,1=爱莫能助
amrz,1=爱民如子
amsd,1=阿姆斯特丹
amvx,1=爱美之心
amwq,1=奥妙无穷
amyc,1=安眠药
amzi,1=爱面子
anbv,1=按捺不住
anby,1=懊恼不已
apld,1=安贫乐道
aqbv,1=哀其不争
aqdy,1=安全第一
aqgj,1=安全感
aqhd,1=爱琴海
aqju,1=安全局
aqmh,1=鞍前马后
aqpm,1=爱情片
aqrm,1=爱钱如命
artl,1=傲然挺立
artu,1=安如泰山
arus,1=黯然失色
aruu,1=黯然神伤
arwy,1=安然无恙
arxh,1=黯然销魂
aryl,1=傲然屹立
asbj,1=阿塞拜疆
asey,1=埃塞俄比亚
asjm,1=爱斯基摩
aska,1=奥斯卡
aslu,1=奥斯陆
aspl,1=阿司匹林
asqb,1=暗送秋波
atbp,1=凹凸不平
atjk,1=凹透镜
atkq,1=暗通款曲
atsj,1=按图索骥
atug,1=安徒生
atyj,1=哀痛欲绝
auaj,1=碍手碍脚
aubu,1=爱说不说
aukb,1=昂首阔步
aulm,1=安身立命
auma,1=阿诗玛
auny,1=爱沙尼亚
auqx,1=傲视群雄
autq,1=唉声叹气
autx,1=昂首挺胸
auvd,1=安身之地
auvi,1=安身之处
auvl,1=安史之乱
avbj,1=安装版
avew,1=安枕而卧
avff,1=安知非福
avms,1=暗中摸索
avrs,1=安之若素
avwy,1=安枕无忧
avyu,1=爱之欲其生
awhv,1=奥委会
awjw,1=爱屋及乌
awtr,1=暗无天日
axbx,1=爱信不信
axcz,1=暗箱操作
axfp,1=按需分配
axhp,1=按下葫芦起来瓢
axjl,1=爱新觉罗
axuy,1=暗香疏影
axym,1=爱惜羽毛
ayhv,1=奥运会
ayst,1=爱因斯坦
ayvv,1=安营扎寨
ayxv,1=安于现状
azbk,1=艾滋病
azfm,1=爱憎分明
azpc,1=腌臜泼才
bael,1=北爱尔兰
bahx,1=不安好心
bazu,1=保安族
bbbd,1=不比不知道
bbbi,1=并不比
bbbk,1=不卑不亢
bbdc,1=办不到
bbde,1=巴不得
bbdn,1=百般刁难
bbds,1=巴巴多斯
bbdv,1=不必当真
bbdy,1=逼不得已
bbig,1=办不成
bbiy,1=百步穿杨
bbjb,1=步步紧逼
bbju,1=比比皆是
bbjx,1=步步惊心
bbko,1=不包括
bbku,1=必不可少
bbll,1=斑驳陆离
bblx,1=便把令来行
bbly,1=巴比伦
bbmm,1=爸爸妈妈
bbpp,1=白白胖胖
bbqq,1=北半球
bbrd,1=兵败如山倒
bbth,1=棒棒糖
bbtt,1=蹦蹦跳跳
bbuh,1=比不上
bbui,1=并不是
bbum,1=帮不上忙
bbuu,1=并不是说
bbvd,1=并不知道
bbvj,1=八拜之交
bbvw,1=不辨真伪
bbvy,1=不白之冤
bbvz,1=八宝粥
bbwj,1=北部湾
bbwn,1=被逼无奈
bbwx,1=白璧微瑕
bbwy,1=步步为营
bbxr,1=兵不血刃
bbxy,1=并不需要
bbyc,1=不必要
bbyd,1=并不一定
bbyh,1=北冰洋
bbyl,1=彬彬有礼
bbyv,1=兵不厌诈
bbyy,1=巴布亚新几内亚
bbzi,1=半辈子
bbzy,1=不必在意
bceb,1=不辞而别
bcfy,1=不测风云
bcgm,1=本草纲目
bchx,1=包藏祸心
bcjd,1=不存芥蒂
bcki,1=病从口入，祸从口出
bckr,1=病从口入
bclk,1=不辞劳苦
bcmb,1=百辞莫辩
bcuq,1=抱残守缺
bcwn,1=博茨瓦纳
bdbl,1=宝刀不老
bdbq,1=百毒不侵
bdbt,1=不得不低头
bdbx,1=不大不小
bdby,1=百读不厌
bddj,1=不单单
bddt,1=不登大雅之堂
bdei,1=背道而驰
bdeq,1=拔地而起
bdev,1=不得而知
bdfg,1=白癜风
bdhs,1=不得好死
bdih,1=不到长城非好汉
bdij,1=不动产
