aaba,1=阿爸
aadb,1=嗷嗷待哺
aaek,1=阿
aage,1=阿哥
aaha,1=啊哈
aajj,1=安安静静
aajk,1=锕
aakk,1=啊
aakw,1=嗄
aaky,1=吖
aala,1=阿拉
aama,1=阿妈
aamf,1=阿门
aamj,1=阿曼
aamw,1=阿妹
aaod,1=腌
aapo,1=阿婆
aapp,1=矮矮胖胖
aaqq,1=安安全全
aavi,1=AA制
aaww,1=安安稳稳
aaxx,1=安安心心
aaya,1=啊呀
aayi,1=阿姨
aayo,1=啊哟
aaza,1=腌臜
abai,1=爱不爱
abbd,1=按兵不动
abbu,1=哀兵必胜
abdg,1=安邦定国
abdi,1=安步当车
abdy,1=阿鼻地狱
abgo,1=熬不过
abhz,1=阿布哈兹
abjb,1=按部就班
abjp,1=矮半截
ablk,1=爱别离苦
ablm,1=鞍不离马
ablo,1=阿波罗
abuu,1=爱不释手
abvb,1=阿布扎比
abvu,1=熬不住
acrk,1=爱才若渴
acrm,1=爱财如命
acuj,1=暗藏杀机
acxj,1=暗藏玄机
ader,1=安道尔
adic,1=暗渡陈仓
adli,1=奥地利
adly,1=澳大利亚
adwg,1=暗淡无光
adwn,1=安度晚年
aeby,1=阿尔巴尼亚
aefa,1=阿尔法
aeje,1=阿尔及尔
aejy,1=阿尔及利亚
aelj,1=爱尔兰
afet,1=埃菲尔铁塔
afhj,1=阿富汗
afti,1=阿凡提
afuj,1=安分守己
agjy,1=爱岗敬业
agla,1=安哥拉
agtk,1=阿根廷
aguy,1=熬更守夜
agve,1=爱国者
agvy,1=爱国主义
ahby,1=哀鸿遍野
ahgv,1=昂贵
ahoe,1=昂
ahoj,1=肮
ahpe,1=卬
ahqi,1=昂起
ahri,1=安好如初
ahrj,1=盎然
ahsi,1=盎司
ahug,1=安徽省
ahuz,1=昂首
ahve,1=爱好者
ahyh,1=昂扬
ahym,1=盎
ahzh,1=肮脏
aiai,1=矮矮
aibe,1=癌
aibj,1=皑
aibm,1=癌变
aicd,1=爱才
aicv,1=蔼
aicx,1=艾
aida,1=挨打
aidc,1=哀悼
aidd,1=爱戴
aiee,1=挨饿
aiem,1=隘
aiey,1=叆
aifa,1=挨罚
aifu,1=爱抚
aifw,1=爱妃
aigc,1=哀告
aige,1=挨个
aigh,1=爱岗
aigo,1=爱国
aihc,1=爱好
aihe,1=爱河
aihf,1=爱恨
aiho,1=爱火
aihu,1=爱护
aiic,1=爱巢
aiig,1=爱称
aiii,1=爱吃
aiiz,1=哀愁
aijb,1=挨近
aiji,1=埃及
aijl,1=爱将
aijq,1=艾灸
aijy,1=锿
aikj,1=爱看
aikm,1=嗌
aiku,1=爱哭
aikx,1=哎
aiky,1=嗳
ailm,1=爱恋
ailv,1=爱侣
aima,1=挨骂
aimb,1=爱民
aimk,1=哀鸣
aimu,1=爱慕
aimw,1=暧昧
ainy,1=嫒
aioy,1=暧
aiph,1=矮胖
aipy,1=爱
aiqk,1=爱情
aiql,1=矮墙
aiqp,1=哀切
aiqq,1=哀求
airf,1=爱人
aisi,1=哀思
aisr,1=欸
aiti,1=挨踢
aitj,1=哀叹
aitk,1=爱听
aits,1=哀痛
aitu,1=埃
aiuc,1=碍
aiuf,1=爱神
aiuh,1=爱上
aiui,1=碍事
aiun,1=矮
aiuw,1=毐
aiux,1=砹
aiuz,1=碍手
aive,1=挨着
aivg,1=癌症
aiwj,1=爱玩
aiwy,1=瑷
aixb,1=爱心
aixi,1=爱惜
aixn,1=矮小
aixy,1=暗潮汹涌
aiya,1=哎呀
aiye,1=艾叶
aiyi,1=爱意
aiyj,1=碍眼
aiyo,1=哎哟
aiyr,1=哀怨
aiys,1=爱用
aiyt,1=哀乐
aiyu,1=碍于
aiyv,1=霭
aizg,1=爱憎
aizi,1=矮子
aizu,1=阿昌族
aizz,1=挨揍
ajah,1=挨家挨户
ajcb,1=挨肩擦背
ajle,1=安静了
ajlh,1=安家落户
ajly,1=安居乐业
ajmd,1=阿基米德
ajnf,1=暗箭难防
ajsr,1=氨基酸
ajur,1=暗箭伤人
akbk,1=爱看不看
alba,1=阿鲁巴
albb,1=阿里巴巴
albg,1=阿拉伯联合酋长国
albl,1=爱理不理
albo,1=阿拉伯
albz,1=阿拉伯数字
aldk,1=阿拉丁
alfp,1=按劳分配
alhv,1=安理会
alpk,1=奥林匹克
alqi,1=按劳取酬
alqq,1=阿联酋
alsi,1=安乐死
aluj,1=阿里山
aluo,1=按理说
alwo,1=安乐窝
amag,1=阿猫阿狗
amds,1=哀莫大于心死
amld,1=鞍马劳顿
amnv,1=爱莫能助
amrz,1=爱民如子
amsd,1=阿姆斯特丹
amvx,1=爱美之心
amwq,1=奥妙无穷
amyc,1=安眠药
amzi,1=爱面子
anan,1=暗暗
anbc,1=安保
anbj,1=案板
anbm,1=岸边
anbn,1=安
anbv,1=按捺不住
anby,1=懊恼不已
anch,1=暗藏
anci,1=按此
anco,1=按错
andc,1=暗道
andi,1=暗地
andj,1=暗淡
andk,1=安定
andn,1=鹌
andu,1=安度
andy,1=安顿
aneg,1=岸
anfa,1=案发
anff,1=安分
anfg,1=暗讽
anfh,1=安放
anfj,1=案犯
anfn,1=按
anfu,1=安抚
angd,1=庵
ange,1=暗格
angn,1=鞍
angz,1=暗沟
anhc,1=暗号
anhd,1=暗害
anhe,1=暗合
anhj,1=暗含
anhl,1=暗黄
